c i 1-D powers of two
Problem: ir128, setup: 55.49 ms, time: 3.46 us, ``mflops'': 647.77
Problem: ir256, setup: 115.69 ms, time: 7.18 us, ``mflops'': 712.69
Problem: ir512, setup: 193.56 ms, time: 16.34 us, ``mflops'': 705.19
Problem: ir1024, setup: 356.45 ms, time: 33.21 us, ``mflops'': 770.88
Problem: ir2048, setup: 672.70 ms, time: 74.88 us, ``mflops'': 752.11
Problem: ir4096, setup: 1.30 s, time: 177.42 us, ``mflops'': 692.59
Problem: ir8192, setup: 2.70 s, time: 407.31 us, ``mflops'': 653.65
Problem: ir16384, setup: 5.51 s, time: 868.06 us, ``mflops'': 660.6
Problem: ir32768, setup: 11.26 s, time: 1.90 ms, ``mflops'': 645.38
Problem: ir65536, setup: 22.80 s, time: 4.47 ms, ``mflops'': 586.19
Problem: ir131072, setup: 47.31 s, time: 11.54 ms, ``mflops'': 482.76
Problem: ir262144, setup: 34.47 s, time: 31.99 ms, ``mflops'': 368.74
Problem: ir524288, setup: 107.36 s, time: 81.90 ms, ``mflops'': 304.07
Problem: ir1048576, setup: 91.71 s, time: 176.78 ms, ``mflops'': 296.58
Problem: ir2097152, setup: 262.16 s, time: 436.03 ms, ``mflops'': 252.51
r o 1-D powers of two
Problem: or2, setup: 61.00 us, time: 82.68 ns, ``mflops'': 60.474
Problem: or4, setup: 61.00 us, time: 106.43 ns, ``mflops'': 187.92
Problem: or8, setup: 92.00 us, time: 153.70 ns, ``mflops'': 390.37
Problem: or16, setup: 91.00 us, time: 254.32 ns, ``mflops'': 629.13
Problem: or32, setup: 3.30 ms, time: 635.31 ns, ``mflops'': 629.61
Problem: or64, setup: 8.55 ms, time: 1.51 us, ``mflops'': 636.12
Problem: or128, setup: 21.83 ms, time: 2.95 us, ``mflops'': 759.02
Problem: or256, setup: 52.35 ms, time: 6.57 us, ``mflops'': 778.92
Problem: or512, setup: 88.43 ms, time: 14.58 us, ``mflops'': 790.28
Problem: or1024, setup: 168.47 ms, time: 31.00 us, ``mflops'': 825.75
Problem: or2048, setup: 311.39 ms, time: 68.80 us, ``mflops'': 818.6
Problem: or4096, setup: 632.89 ms, time: 170.27 us, ``mflops'': 721.7
Problem: or8192, setup: 1.30 s, time: 391.09 us, ``mflops'': 680.76
Problem: or16384, setup: 2.73 s, time: 835.62 us, ``mflops'': 686.24
Problem: or32768, setup: 5.48 s, time: 1.82 ms, ``mflops'': 675.16
Problem: or65536, setup: 11.37 s, time: 4.59 ms, ``mflops'': 570.59
Problem: or131072, setup: 30.88 s, time: 13.61 ms, ``mflops'': 409.15
Problem: or262144, setup: 95.18 s, time: 39.16 ms, ``mflops'': 301.2
Problem: or524288, setup: 241.35 s, time: 87.33 ms, ``mflops'': 285.16
Problem: or1048576, setup: 475.22 s, time: 197.87 ms, ``mflops'': 264.97
Problem: or2097152, setup: 739.90 s, time: 425.83 ms, ``mflops'': 258.56
r i 1-D non-powers of two
Problem: ir6, setup: 580.00 us, time: 144.16 ns, ``mflops'': 268.97
Problem: ir9, setup: 244.00 us, time: 219.85 ns, ``mflops'': 324.42
Problem: ir12, setup: 580.00 us, time: 212.86 ns, ``mflops'': 505.26
Problem: ir15, setup: 275.00 us, time: 305.08 ns, ``mflops'': 480.22
Problem: ir18, setup: 12.12 ms, time: 608.31 ns, ``mflops'': 308.47
Problem: ir24, setup: 28.82 ms, time: 663.27 ns, ``mflops'': 414.76
Problem: ir36, setup: 38.31 ms, time: 1.38 us, ``mflops'': 338.4
Problem: ir80, setup: 105.74 ms, time: 2.60 us, ``mflops'': 486.15
Problem: ir108, setup: 75.92 ms, time: 4.02 us, ``mflops'': 454.02
Problem: ir210, setup: 84.37 ms, time: 9.14 us, ``mflops'': 443.26
Problem: ir504, setup: 301.93 ms, time: 21.28 us, ``mflops'': 531.47
Problem: ir1000, setup: 447.32 ms, time: 38.93 us, ``mflops'': 639.95
Problem: ir1960, setup: 654.19 ms, time: 103.02 us, ``mflops'': 520.17
Problem: ir4725, setup: 210.32 ms, time: 352.94 us, ``mflops'': 408.53
Problem: ir10368, setup: 6.23 s, time: 596.19 us, ``mflops'': 579.97
Problem: ir27000, setup: 16.31 s, time: 1.78 ms, ``mflops'': 558.82
Problem: ir75600, setup: 52.74 s, time: 6.90 ms, ``mflops'': 444
Problem: ir165375, setup: 9.12 s, time: 31.35 ms, ``mflops'': 228.62
Problem: ir362880, setup: 133.92 s, time: 58.33 ms, ``mflops'': 287.23
Problem: ir1562500, setup: 36.75 s, time: 430.59 ms, ``mflops'': 186.66
r o 1-D non-powers of two
Problem: or6, setup: 61.00 us, time: 144.16 ns, ``mflops'': 268.97
Problem: or9, setup: 61.00 us, time: 219.83 ns, ``mflops'': 324.44
Problem: or12, setup: 61.00 us, time: 212.40 ns, ``mflops'': 506.35
Problem: or15, setup: 61.00 us, time: 304.61 ns, ``mflops'': 480.97
Problem: or18, setup: 2.81 ms, time: 607.36 ns, ``mflops'': 308.95
Problem: or24, setup: 9.37 ms, time: 640.87 ns, ``mflops'': 429.26
Problem: or36, setup: 12.42 ms, time: 1.01 us, ``mflops'': 459.1
Problem: or80, setup: 52.05 ms, time: 1.98 us, ``mflops'': 639.02
Problem: or108, setup: 31.32 ms, time: 3.32 us, ``mflops'': 549.94
Problem: or210, setup: 23.90 ms, time: 7.72 us, ``mflops'': 524.56
Problem: or504, setup: 128.97 ms, time: 19.55 us, ``mflops'': 578.45
Problem: or1000, setup: 192.19 ms, time: 36.67 us, ``mflops'': 679.5
Problem: or1960, setup: 288.80 ms, time: 96.34 us, ``mflops'': 556.23
Problem: or4725, setup: 209.13 ms, time: 353.91 us, ``mflops'': 407.41
Problem: or10368, setup: 3.13 s, time: 574.25 us, ``mflops'': 602.12
Problem: or27000, setup: 8.19 s, time: 1.72 ms, ``mflops'': 577.45
Problem: or75600, setup: 36.60 s, time: 6.46 ms, ``mflops'': 474.44
Problem: or165375, setup: 9.20 s, time: 33.52 ms, ``mflops'': 213.84
Problem: or362880, setup: 395.05 s, time: 60.01 ms, ``mflops'': 279.19
Problem: or1562500, setup: 224.23 s, time: 346.52 ms, ``mflops'': 231.94
r i 2-D powers of two
Problem: ir4x4, setup: 2.84 ms, time: 419.22 ns, ``mflops'': 381.66
Problem: ir8x4, setup: 2.93 ms, time: 707.95 ns, ``mflops'': 565.01
Problem: ir4x8, setup: 4.03 ms, time: 652.10 ns, ``mflops'': 613.4
Problem: ir8x8, setup: 3.02 ms, time: 1.20 us, ``mflops'': 798.89
