c i 1-D powers of two
Problem: ir504, setup: 715.50 ms, time: 25.87 us, ``mflops'': 437.29
Problem: ir1000, setup: 1.21 s, time: 49.23 us, ``mflops'': 506.04
Problem: ir1960, setup: 1.74 s, time: 117.78 us, ``mflops'': 454.99
Problem: ir4725, setup: 796.13 ms, time: 1.93 ms, ``mflops'': 74.697
Problem: ir10368, setup: 16.26 s, time: 654.25 us, ``mflops'': 528.5
Problem: ir27000, setup: 46.53 s, time: 2.68 ms, ``mflops'': 371.04
Problem: ir75600, setup: 137.42 s, time: 10.16 ms, ``mflops'': 301.41
Problem: ir165375, setup: 36.79 s, time: 117.65 ms, ``mflops'': 60.92
Problem: ir362880, setup: 248.91 s, time: 68.51 ms, ``mflops'': 244.55
Problem: ir1562500, setup: 32.02 s, time: 377.78 ms, ``mflops'': 212.75
r o 1-D non-powers of two
Problem: or6, setup: 92.00 us, time: 422.82 ns, ``mflops'': 91.704
Problem: or9, setup: 123.00 us, time: 985.35 ns, ``mflops'': 72.384
Problem: or12, setup: 122.00 us, time: 808.35 ns, ``mflops'': 133.05
Problem: or15, setup: 91.00 us, time: 1.29 us, ``mflops'': 113.67
Problem: or18, setup: 6.87 ms, time: 981.63 ns, ``mflops'': 191.16
Problem: or24, setup: 22.13 ms, time: 1.11 us, ``mflops'': 248.21
Problem: or36, setup: 31.19 ms, time: 1.64 us, ``mflops'': 283.86
Problem: or80, setup: 128.12 ms, time: 2.98 us, ``mflops'': 424.26
Problem: or108, setup: 73.79 ms, time: 4.73 us, ``mflops'': 385.49
Problem: or210, setup: 58.17 ms, time: 11.00 us, ``mflops'': 368.28
Problem: or504, setup: 305.33 ms, time: 24.86 us, ``mflops'': 455.09
Problem: or1000, setup: 512.95 ms, time: 46.85 us, ``mflops'': 531.77
Problem: or1960, setup: 724.77 ms, time: 114.44 us, ``mflops'': 468.29
Problem: or4725, setup: 794.78 ms, time: 1.93 ms, ``mflops'': 74.553
Problem: or10368, setup: 7.53 s, time: 637.06 us, ``mflops'': 542.76
Problem: or27000, setup: 20.78 s, time: 2.57 ms, ``mflops'': 386.48
Problem: or75600, setup: 96.84 s, time: 11.05 ms, ``mflops'': 277.24
Problem: or165375, setup: 36.66 s, time: 117.62 ms, ``mflops'': 60.936
Problem: or362880, setup: 708.05 s, time: 65.16 ms, ``mflops'': 257.16
Problem: or1562500, setup: 206.38 s, time: 334.94 ms, ``mflops'': 239.96
r i 2-D powers of two
Problem: ir4x4, setup: 7.17 ms, time: 1.13 us, ``mflops'': 141.28
Problem: ir8x4, setup: 7.48 ms, time: 2.04 us, ``mflops'': 195.93
Problem: ir4x8, setup: 10.10 ms, time: 2.32 us, ``mflops'': 172.35
Problem: ir8x8, setup: 7.90 ms, time: 4.33 us, ``mflops'': 221.77
Problem: ir16x16, setup: 14.34 ms, time: 18.98 us, ``mflops'': 269.7
